,countrySubd,locality,attomId,saleTransDate,proptype,yearbuilt,universalsize,beds,bathstotal,zipcode
196,VA,GREAT FALLS,12056691,2022-08-04,SFR,1990,6294.0,5.0,6.0,22066
197,VA,GREAT FALLS,12056692,2006-12-18,SFR,1988,3550.0,4.0,4.0,22066
198,VA,GREAT FALLS,12056693,2016-10-07,SFR,1995,5644.0,5.0,6.0,22066
199,VA,GREAT FALLS,12056694,2006-08-21,SFR,1986,4169.0,4.0,5.0,22066
200,VA,GREAT FALLS,12056695,2006-08-31,SFR,1995,5624.0,5.0,7.0,22066
201,VA,GREAT FALLS,12056696,2016-06-30,SFR,1987,3776.0,4.0,5.0,22066
202,VA,GREAT FALLS,12056698,,SFR,1994,4469.0,4.0,5.0,22066
203,VA,GREAT FALLS,12938027,2007-09-13,SFR,1984,2692.0,4.0,3.0,22066
204,VA,GREAT FALLS,13070436,2008-11-06,SFR,1978,2248.0,4.0,2.0,22066
205,VA,GREAT FALLS,13307107,2007-07-23,SFR,1972,4443.0,4.0,5.0,22066
206,VA,GREAT FALLS,13399379,2017-08-24,SFR,1984,3405.0,6.0,4.0,22066
207,VA,GREAT FALLS,13877620,2009-04-15,SFR,1977,2928.0,4.0,4.0,22066
208,VA,GREAT FALLS,13924761,2008-04-08,SFR,1965,1506.0,4.0,3.0,22066
209,VA,GREAT FALLS,14172359,2007-07-06,SFR,1989,4520.0,5.0,5.0,22066
210,VA,GREAT FALLS,14172360,2007-07-02,SFR,1993,4614.0,4.0,5.0,22066
211,VA,GREAT FALLS,14172361,2019-07-18,SFR,1973,2076.0,4.0,4.0,22066
212,VA,GREAT FALLS,14417015,2016-07-30,SFR,1977,1556.0,3.0,3.0,22066
213,VA,GREAT FALLS,14418302,2007-11-30,SFR,1975,1854.0,4.0,4.0,22066
214,VA,GREAT FALLS,14418614,2007-12-07,SFR,1977,3554.0,4.0,5.0,22066
215,VA,GREAT FALLS,14592112,2009-04-30,SFR,1965,1392.0,3.0,3.0,22066
216,VA,GREAT FALLS,14628126,2008-03-20,SFR,1978,2726.0,5.0,4.0,22066
